activation,Solver,Hidden layer sizes,Learning rate,Training time,Iterations,Accuracy
logistic,adam,"(90, 90)",0.1,3.978032350540161,14,0.2130115424973767
logistic,adam,"(120, 120)",0.001,80.12150287628174,239,0.4963273871983211
logistic,adam,"(120, 120)",0.01,11.390183210372925,66,0.28541448058761804
logistic,adam,"(120, 120)",0.1,4.551504611968994,18,0.07660020986358866
logistic,lbfgs,"(20, 20)",0.001,9.028486013412476,500,0.3578174186778594
logistic,lbfgs,"(20, 20)",0.01,8.22657823562622,500,0.3483735571878279
logistic,lbfgs,"(20, 20)",0.1,8.527204513549805,500,0.3483735571878279
logistic,lbfgs,"(50, 50)",0.001,18.078314304351807,500,0.37670514165792235
logistic,lbfgs,"(50, 50)",0.01,16.949885606765747,500,0.35571878279118574
logistic,lbfgs,"(50, 50)",0.1,17.010799884796143,500,0.391395592864638
logistic,lbfgs,"(90, 90)",0.001,23.29996967315674,500,0.3882476390346275
logistic,lbfgs,"(90, 90)",0.01,25.386596202850342,500,0.39244491080797483
logistic,lbfgs,"(90, 90)",0.1,24.044671058654785,500,0.39979013641133265
logistic,lbfgs,"(120, 120)",0.001,33.033435106277466,500,0.40818467995802726
logistic,lbfgs,"(120, 120)",0.01,37.0143768787384,500,0.3746065057712487
logistic,lbfgs,"(120, 120)",0.1,31.73585057258606,500,0.3934942287513116
tanh,sgd,"(20, 20)",0.001,14.058797597885132,393,0.34207764952780695
tanh,sgd,"(20, 20)",0.01,1.6001951694488525,35,0.21720881427072403
tanh,sgd,"(20, 20)",0.1,0.9384884834289551,19,0.1888772298006296
tanh,sgd,"(50, 50)",0.001,24.29224467277527,437,0.4260230849947534
tanh,sgd,"(50, 50)",0.01,1.1060409545898438,18,0.24554039874081846
tanh,sgd,"(50, 50)",0.1,1.860023021697998,36,0.2130115424973767
tanh,sgd,"(90, 90)",0.001,27.503597021102905,292,0.4260230849947534
tanh,sgd,"(90, 90)",0.01,1.6216599941253662,21,0.2759706190975866
tanh,sgd,"(90, 90)",0.1,2.918196439743042,41,0.14795383001049317
