n_layers,n_neurons,transfer_func,learn_rate,algorithm,max_iter,test_accuracy
1,10,logistic,0.1,adam,100,0.9612204278548859
1,10,logistic,0.1,adam,200,0.9524346374585735
1,10,logistic,0.1,adam,300,0.9743645203570123
1,10,logistic,0.1,lbfgs,100,0.9264111312409746
1,10,logistic,0.1,lbfgs,200,0.9623467209507885
1,10,logistic,0.1,lbfgs,300,0.9800114695526608
1,10,tanh,0.001,adam,100,0.21186126216433881
1,10,tanh,0.001,adam,200,0.6459916843197916
1,10,tanh,0.001,adam,300,0.7085223513325646
1,10,tanh,0.001,lbfgs,100,0.9280159125200451
1,10,tanh,0.001,lbfgs,200,0.9641112024351064
1,10,tanh,0.001,lbfgs,300,0.9702050750659867
1,10,tanh,0.01,adam,100,0.9259973401389113
1,10,tanh,0.01,adam,200,0.9354546084922253
1,10,tanh,0.01,adam,300,0.9458451908865895
1,10,tanh,0.01,lbfgs,100,0.9602152615602766
1,10,tanh,0.01,lbfgs,200,0.9694213957891871
1,10,tanh,0.01,lbfgs,300,0.9650213812181447
1,10,tanh,0.1,adam,100,0.9607034188285248
1,10,tanh,0.1,adam,200,0.9255399921823373
1,10,tanh,0.1,adam,300,0.9623176428111557
1,10,tanh,0.1,lbfgs,100,0.9377526403376637
1,10,tanh,0.1,lbfgs,200,0.9780510017939686
1,10,tanh,0.1,lbfgs,300,0.9617794110110021
1,10,relu,0.001,adam,100,0.022804853177123385
1,10,relu,0.001,adam,200,0.707361139298994
1,10,relu,0.001,adam,300,0.6898679419889837
1,10,relu,0.001,lbfgs,100,0.9183275872455645
1,10,relu,0.001,lbfgs,200,0.9311459712663386
1,10,relu,0.001,lbfgs,300,0.957830744892612
1,10,relu,0.01,adam,100,0.8672851343155937
1,10,relu,0.01,adam,200,0.8976777969652239
1,10,relu,0.01,adam,300,0.8558992546074209
1,10,relu,0.01,lbfgs,100,0.9143004919051538
1,10,relu,0.01,lbfgs,200,0.920752708949112
1,10,relu,0.01,lbfgs,300,0.9137901485344525
1,10,relu,0.1,adam,100,0.935210404248435
1,10,relu,0.1,adam,200,0.93541144568007
1,10,relu,0.1,adam,300,0.9323393330782803
1,10,relu,0.1,lbfgs,100,0.9061128225177995
1,10,relu,0.1,lbfgs,200,0.9639864417571997
1,10,relu,0.1,lbfgs,300,0.9720451526477152
1,20,identity,0.001,adam,100,0.11833839437391369
1,20,identity,0.001,adam,200,0.5173020477162462
1,20,identity,0.001,adam,300,0.6583873909566033
1,20,identity,0.001,lbfgs,100,0.698368199281249
1,20,identity,0.001,lbfgs,200,0.6572386143362221
1,20,identity,0.001,lbfgs,300,0.7537422972502298
1,20,identity,0.01,adam,100,0.7323474730875337
1,20,identity,0.01,adam,200,0.7176790643013142
1,20,identity,0.01,adam,300,0.6644126044293914
1,20,identity,0.01,lbfgs,100,0.7366089342041948
1,20,identity,0.01,lbfgs,200,0.6942115276305162
1,20,identity,0.01,lbfgs,300,0.6551867417510254
1,20,identity,0.1,adam,100,0.7129891876164505
1,20,identity,0.1,adam,200,0.7058983480033975
1,20,identity,0.1,adam,300,0.7513815708819008
1,20,identity,0.1,lbfgs,100,0.6568179875195059
1,20,identity,0.1,lbfgs,200,0.6848385903850334
1,20,identity,0.1,lbfgs,300,0.6776303411072594
1,20,logistic,0.001,adam,100,0.5447238571895938
1,20,logistic,0.001,adam,200,0.7722345917832061
1,20,logistic,0.001,adam,300,0.8496082643300993
1,20,logistic,0.001,lbfgs,100,0.9564385584622377
1,20,logistic,0.001,lbfgs,200,0.9760804683491309
1,20,logistic,0.001,lbfgs,300,0.9732972628710775
1,20,logistic,0.01,adam,100,0.936612188085773
1,20,logistic,0.01,adam,200,0.9492357742662898
1,20,logistic,0.01,adam,300,0.9735623248269762
1,20,logistic,0.01,lbfgs,100,0.9623420626728765
1,20,logistic,0.01,lbfgs,200,0.9552214942142339
1,20,logistic,0.01,lbfgs,300,0.9804818734218738
1,20,logistic,0.1,adam,100,0.9461843175242897
1,20,logistic,0.1,adam,200,0.9534205474221599
1,20,logistic,0.1,adam,300,0.9655323624782106
1,20,logistic,0.1,lbfgs,100,0.9644396216742581
1,20,logistic,0.1,lbfgs,200,0.9759251493361604
1,20,logistic,0.1,lbfgs,300,0.9743765095491103
1,20,tanh,0.001,adam,100,0.7046064336650198
1,20,tanh,0.001,adam,200,0.8822580381080901
1,20,tanh,0.001,adam,300,0.8543779132703467
1,20,tanh,0.001,lbfgs,100,0.9709773347294817
1,20,tanh,0.001,lbfgs,200,0.9695422134403255
1,20,tanh,0.001,lbfgs,300,0.9885177530630743
1,20,tanh,0.01,adam,100,0.9687117206060947
1,20,tanh,0.01,adam,200,0.9301944082985456
1,20,tanh,0.01,adam,300,0.9590901765335946
1,20,tanh,0.01,lbfgs,100,0.9530874972921555
1,20,tanh,0.01,lbfgs,200,0.9740841707752551
1,20,tanh,0.01,lbfgs,300,0.9869498554249951
1,20,tanh,0.1,adam,100,0.9499613882669191
1,20,tanh,0.1,adam,200,0.9025690190865656
1,20,tanh,0.1,adam,300,0.9309395302513598
1,20,tanh,0.1,lbfgs,100,0.9544108487633114
1,20,tanh,0.1,lbfgs,200,0.9775696654545869
1,20,tanh,0.1,lbfgs,300,0.9783715629862599
1,20,relu,0.001,adam,100,0.6968202347258621
1,20,relu,0.001,adam,200,0.8511785419866993
1,20,relu,0.001,adam,300,0.8452868499216554
1,20,relu,0.001,lbfgs,100,0.9360930069043198
1,20,relu,0.001,lbfgs,200,0.9648157325840124
1,20,relu,0.001,lbfgs,300,0.9457532975097322
1,20,relu,0.01,adam,100,0.9440321716425888
1,20,relu,0.01,adam,200,0.9703047434567934
1,20,relu,0.01,adam,300,0.9571466778413298
1,20,relu,0.01,lbfgs,100,0.9255604795598622
1,20,relu,0.01,lbfgs,200,0.9762945014784474
1,20,relu,0.01,lbfgs,300,0.9521670546290204
1,20,relu,0.1,adam,100,0.9653105788084987
1,20,relu,0.1,adam,200,0.9705293103423327
1,20,relu,0.1,adam,300,0.9482647404973336
1,20,relu,0.1,lbfgs,100,0.95613423968786
1,20,relu,0.1,lbfgs,200,0.9667054972851561
1,20,relu,0.1,lbfgs,300,0.9652625572121283
2,5,identity,0.001,adam,100,-1.5451731733482952
2,5,identity,0.001,adam,200,0.7172030782790848
2,5,identity,0.001,adam,300,0.7036135030748731
2,5,identity,0.001,lbfgs,100,0.7124113127831047
2,5,identity,0.001,lbfgs,200,0.7205894275742821
2,5,identity,0.001,lbfgs,300,0.6986623011985644
2,5,identity,0.01,adam,100,0.6567279189358693
2,5,identity,0.01,adam,200,0.6968874722452096
2,5,identity,0.01,adam,300,0.7039940031401439
2,5,identity,0.01,lbfgs,100,0.6832283857510211
2,5,identity,0.01,lbfgs,200,0.710903161494533
2,5,identity,0.01,lbfgs,300,0.6564111342625921
2,5,identity,0.1,adam,100,0.6437419636801921
2,5,identity,0.1,adam,200,0.6617986765491936
2,5,identity,0.1,adam,300,0.7108136395991725
2,5,identity,0.1,lbfgs,100,0.6802634395235404
2,5,identity,0.1,lbfgs,200,0.6900897818880674
2,5,identity,0.1,lbfgs,300,0.7003350092684545
2,5,logistic,0.001,adam,100,0.2752438661818278
2,5,logistic,0.001,adam,200,0.44613250047426734
2,5,logistic,0.001,adam,300,0.5147770818775081
2,5,logistic,0.001,lbfgs,100,0.8706968516402974
2,5,logistic,0.001,lbfgs,200,0.9508986472969516
2,5,logistic,0.001,lbfgs,300,0.9507577296256773
2,5,logistic,0.01,adam,100,0.6107654300336539
2,5,logistic,0.01,adam,200,0.9528317600078295
2,5,logistic,0.01,adam,300,0.9467063051982425
2,5,logistic,0.01,lbfgs,100,0.8360898529589496
2,5,logistic,0.01,lbfgs,200,0.8773440373200179
2,5,logistic,0.01,lbfgs,300,0.9267869445262307
2,5,logistic,0.1,adam,100,0.8898376155109848
2,5,logistic,0.1,adam,200,0.9517317156087397
2,5,logistic,0.1,adam,300,0.9290697555789724
2,5,logistic,0.1,lbfgs,100,0.9308392217765418
2,5,logistic,0.1,lbfgs,200,0.9421408182635844
2,5,logistic,0.1,lbfgs,300,0.9028477298723308
2,5,tanh,0.001,adam,100,0.4386624256466241
2,5,tanh,0.001,adam,200,0.6603715322172141
2,5,tanh,0.001,adam,300,0.8855678990837923
2,5,tanh,0.001,lbfgs,100,0.9128608261258886
2,5,tanh,0.001,lbfgs,200,0.9552118052799039
2,5,tanh,0.001,lbfgs,300,0.9589683988174527
2,5,tanh,0.01,adam,100,0.8494084402192221
2,5,tanh,0.01,adam,200,0.937757132134327
2,5,tanh,0.01,adam,300,0.9642387491152389
2,5,tanh,0.01,lbfgs,100,0.9342792906643127
2,5,tanh,0.01,lbfgs,200,0.8497084826512544
2,5,tanh,0.01,lbfgs,300,0.8925458148613756
2,5,tanh,0.1,adam,100,0.8653395777678317
2,5,tanh,0.1,adam,200,0.8785209759586072
2,5,tanh,0.1,adam,300,0.8902348724861118
2,5,tanh,0.1,lbfgs,100,0.9156382080056771
2,5,tanh,0.1,lbfgs,200,0.9085658212391001
2,5,tanh,0.1,lbfgs,300,0.9726186468131492
2,5,relu,0.001,adam,100,0.5529747367642147
2,5,relu,0.001,adam,200,0.6112669807104595
2,5,relu,0.001,adam,300,0.8333337834006038
2,5,relu,0.001,lbfgs,100,0.9383745165939179
2,5,relu,0.001,lbfgs,200,0.9303324589348604
2,5,relu,0.001,lbfgs,300,0.9358558873570316
2,5,relu,0.01,adam,100,0.8603154575240686
2,5,relu,0.01,adam,200,0.8364920242547389
2,5,relu,0.01,adam,300,0.9433923910128327
2,5,relu,0.01,lbfgs,100,0.8215515210510853
2,5,relu,0.01,lbfgs,200,0.46209751581353614
2,5,relu,0.01,lbfgs,300,0.14684895709749235
2,5,relu,0.1,adam,100,0.9331382671676216
2,5,relu,0.1,adam,200,0.40389808689493706
2,5,relu,0.1,adam,300,0.9191196183112448
2,5,relu,0.1,lbfgs,100,0.6058731542211785
2,5,relu,0.1,lbfgs,200,0.9520684554757874
2,5,relu,0.1,lbfgs,300,0.9263628582539551
2,10,identity,0.001,adam,100,0.5829326062470956
2,10,identity,0.001,adam,200,0.6786289650345603
2,10,identity,0.001,adam,300,0.6847410388351485
2,10,identity,0.001,lbfgs,100,0.7062473797487547
2,10,identity,0.001,lbfgs,200,0.7150815389700369
2,10,identity,0.001,lbfgs,300,0.6836851078940356
2,10,identity,0.01,adam,100,0.6784212824660898
2,10,identity,0.01,adam,200,0.6739255895411609
2,10,identity,0.01,adam,300,0.6914383610437096
2,10,identity,0.01,lbfgs,100,0.6528332592383945
2,10,identity,0.01,lbfgs,200,0.7119459359126923
2,10,identity,0.01,lbfgs,300,0.6872519122888543
2,10,identity,0.1,adam,100,0.6606845174688001
2,10,identity,0.1,adam,200,0.6250744710565845
2,10,identity,0.1,adam,300,0.7122812516591748
2,10,identity,0.1,lbfgs,100,0.6968321560691944
2,10,identity,0.1,lbfgs,200,0.6967268999789189
2,10,identity,0.1,lbfgs,300,0.6308249483903897
2,10,logistic,0.001,adam,100,0.41768074741487804
2,10,logistic,0.001,adam,200,0.4308335941382727
2,10,logistic,0.001,adam,300,0.5655242346183573
2,10,logistic,0.001,lbfgs,100,0.9386733005081545
2,10,logistic,0.001,lbfgs,200,0.9443813748096059
2,10,logistic,0.001,lbfgs,300,0.9670643176703417
2,10,logistic,0.01,adam,100,0.8682624227141248
2,10,logistic,0.01,adam,200,0.9738052560838851
2,10,logistic,0.01,adam,300,0.9823487482114753
2,10,logistic,0.01,lbfgs,100,0.9239713117452892
2,10,logistic,0.01,lbfgs,200,0.9795294739726323
2,10,logistic,0.01,lbfgs,300,0.9852105220942717
2,10,logistic,0.1,adam,100,0.9768729668940036
2,10,logistic,0.1,adam,200,0.9515947733945386
2,10,logistic,0.1,adam,300,0.9616672918468546
2,10,logistic,0.1,lbfgs,100,0.9221708877202663
2,10,logistic,0.1,lbfgs,200,0.9774726910893533
2,10,logistic,0.1,lbfgs,300,0.9782132853360206
2,10,tanh,0.001,adam,100,0.3954774585805044
2,10,tanh,0.001,adam,200,0.9329284799529163
2,10,tanh,0.001,adam,300,0.9208386142713625
2,10,tanh,0.001,lbfgs,100,0.966157665542252
2,10,tanh,0.001,lbfgs,200,0.9677000550935164
2,10,tanh,0.001,lbfgs,300,0.9860194510230625
2,10,tanh,0.01,adam,100,0.9584171079425807
2,10,tanh,0.01,adam,200,0.9678936490382339
2,10,tanh,0.01,adam,300,0.9650875798130665
2,10,tanh,0.01,lbfgs,100,0.9591737098104227
2,10,tanh,0.01,lbfgs,200,0.9612750347362413
2,10,tanh,0.01,lbfgs,300,0.9769186949473365
2,10,tanh,0.1,adam,100,0.9436175116601941
2,10,tanh,0.1,adam,200,0.9534612717520868
2,10,tanh,0.1,adam,300,0.9471812143182057
2,10,tanh,0.1,lbfgs,100,0.9449478973441017
2,10,tanh,0.1,lbfgs,200,0.9790845810525284
2,10,tanh,0.1,lbfgs,300,0.9726618575544232
2,10,relu,0.001,adam,100,0.821599568663352
2,10,relu,0.001,adam,200,0.8975368109395669
2,10,relu,0.001,adam,300,0.8594044475883336
2,10,relu,0.001,lbfgs,100,0.9449354558848766
2,10,relu,0.001,lbfgs,200,0.9655894053398646
2,10,relu,0.001,lbfgs,300,0.9750892313651243
2,10,relu,0.01,adam,100,0.9429958728303063
2,10,relu,0.01,adam,200,0.938909119162405
2,10,relu,0.01,adam,300,0.9074565538877782
2,10,relu,0.01,lbfgs,100,0.8224438893432636
2,10,relu,0.01,lbfgs,200,0.9748441375150549
2,10,relu,0.01,lbfgs,300,0.9849176886104598
2,10,relu,0.1,adam,100,0.7393190794647921
2,10,relu,0.1,adam,200,0.9463808066185968
2,10,relu,0.1,adam,300,0.9355844036830867
2,10,relu,0.1,lbfgs,100,0.9577694881936792
2,10,relu,0.1,lbfgs,200,0.907277497646255
2,10,relu,0.1,lbfgs,300,0.8921883490595967
2,20,identity,0.001,adam,100,0.6309768889503077
2,20,identity,0.001,adam,200,0.6867847183701146
2,20,identity,0.001,adam,300,0.717504551038926
2,20,identity,0.001,lbfgs,100,0.6608213770563137
2,20,identity,0.001,lbfgs,200,0.7000213794103689
2,20,identity,0.001,lbfgs,300,0.6861384349369122
2,20,identity,0.01,adam,100,0.7214077261484511
2,20,identity,0.01,adam,200,0.7229900888457019
2,20,identity,0.01,adam,300,0.671542163245922
2,20,identity,0.01,lbfgs,100,0.6809045193910768
2,20,identity,0.01,lbfgs,200,0.6990126496558554
2,20,identity,0.01,lbfgs,300,0.7369423937170994
2,20,identity,0.1,adam,100,0.6205733928505255
2,20,identity,0.1,adam,200,0.6512174039597787
2,20,identity,0.1,adam,300,0.6804119192928567
2,20,identity,0.1,lbfgs,100,0.6749519335489435
2,20,identity,0.1,lbfgs,200,0.7113800160481376
2,20,identity,0.1,lbfgs,300,0.686298544249391
2,20,logistic,0.001,adam,100,0.46475880100203426
2,20,logistic,0.001,adam,200,0.8006163173799302
2,20,logistic,0.001,adam,300,0.8890675392749765
2,20,logistic,0.001,lbfgs,100,0.9468544805851894
2,20,logistic,0.001,lbfgs,200,0.9718841131410203
2,20,logistic,0.001,lbfgs,300,0.9828357863505474
2,20,logistic,0.01,adam,100,0.9709967397908006
2,20,logistic,0.01,adam,200,0.9550649105836321
2,20,logistic,0.01,adam,300,0.963708463429924
2,20,logistic,0.01,lbfgs,100,0.9582648434514153
2,20,logistic,0.01,lbfgs,200,0.9776384914922367
2,20,logistic,0.01,lbfgs,300,0.9812163910336651
2,20,logistic,0.1,adam,100,0.9619775106842784
2,20,logistic,0.1,adam,200,0.9820927321329324
2,20,logistic,0.1,adam,300,0.969196121076991
2,20,logistic,0.1,lbfgs,100,0.9572236453699315
2,20,logistic,0.1,lbfgs,200,0.9530587167406073
2,20,logistic,0.1,lbfgs,300,0.9780603675916675
2,20,tanh,0.001,adam,100,0.8967431876201694
2,20,tanh,0.001,adam,200,0.9549107994718762
2,20,tanh,0.001,adam,300,0.9691860923432714
2,20,tanh,0.001,lbfgs,100,0.9649261214497582
2,20,tanh,0.001,lbfgs,200,0.9739310223220639
2,20,tanh,0.001,lbfgs,300,0.98784113890902
2,20,tanh,0.01,adam,100,0.9607203895840694
2,20,tanh,0.01,adam,200,0.9681892646337134
2,20,tanh,0.01,adam,300,0.9745574613640737
2,20,tanh,0.01,lbfgs,100,0.9651007176772626
2,20,tanh,0.01,lbfgs,200,0.9618743713765624
2,20,tanh,0.01,lbfgs,300,0.9796616710626631
2,20,tanh,0.1,adam,100,0.9161617240353983
2,20,tanh,0.1,adam,200,0.9574657867195944
2,20,tanh,0.1,adam,300,0.9732384946748125
2,20,tanh,0.1,lbfgs,100,0.9832586938793846
