n_layers,n_neurons,transfer_func,learn_rate,algorithm,max_iter,test_accuracy
1,5,identity,0.001,adam,100,0.6747953212764743
1,5,identity,0.001,adam,200,0.6834190884413038
1,5,identity,0.001,adam,300,0.6953597424712243
1,5,identity,0.001,lbfgs,100,0.6872851725718809
1,5,identity,0.001,lbfgs,200,0.712857252371222
1,5,identity,0.001,lbfgs,300,0.712058414959104
1,5,identity,0.01,adam,100,0.6981026362540843
1,5,identity,0.01,adam,200,0.6620047556359463
1,5,identity,0.01,adam,300,0.7094159447752082
1,5,identity,0.01,lbfgs,100,0.672937992583472
1,5,identity,0.01,lbfgs,200,0.6981714377370571
1,5,identity,0.01,lbfgs,300,0.6815400376898204
1,5,identity,0.1,adam,100,0.6981999933472223
1,5,identity,0.1,adam,200,0.704517062346091
1,5,identity,0.1,adam,300,0.715675133980951
1,5,identity,0.1,lbfgs,100,0.7126527776846433
1,5,identity,0.1,lbfgs,200,0.6878479169875269
1,5,identity,0.1,lbfgs,300,0.6857064917981252
1,5,logistic,0.001,adam,100,0.8106841061977756
1,5,logistic,0.001,adam,200,0.8617716829445269
1,5,logistic,0.001,adam,300,0.939880968967997
1,5,logistic,0.001,lbfgs,100,0.9265489503974914
1,5,logistic,0.001,lbfgs,200,0.8941014201187203
1,5,logistic,0.001,lbfgs,300,0.9477343486494101
1,5,logistic,0.01,adam,100,0.9056743796196396
1,5,logistic,0.01,adam,200,0.9474333701492136
1,5,logistic,0.01,adam,300,0.96602516633907
1,5,logistic,0.01,lbfgs,100,0.948493975146437
1,5,logistic,0.01,lbfgs,200,0.9501980410705051
1,5,logistic,0.01,lbfgs,300,0.9635785459020576
1,5,logistic,0.1,adam,100,0.9561452842329364
1,5,logistic,0.1,adam,200,0.9609273684859818
1,5,logistic,0.1,adam,300,0.9395568962178742
1,5,logistic,0.1,lbfgs,100,0.8634403789263598
1,5,logistic,0.1,lbfgs,200,0.9397581447968016
1,5,logistic,0.1,lbfgs,300,0.9536926773598766
1,5,tanh,0.001,adam,100,0.9007086515785772
1,5,tanh,0.001,adam,200,0.8927059800249557
1,5,tanh,0.001,adam,300,0.9200758376530009
1,5,tanh,0.001,lbfgs,100,0.8688595679239997
1,5,tanh,0.001,lbfgs,200,0.9439404193980938
1,5,tanh,0.001,lbfgs,300,0.9409569249891616
1,5,tanh,0.01,adam,100,0.9380430196754956
1,5,tanh,0.01,adam,200,0.9427701784324993
1,5,tanh,0.01,adam,300,0.9620680418897345
1,5,tanh,0.01,lbfgs,100,0.8957781362360715
1,5,tanh,0.01,lbfgs,200,0.9342717709149955
1,5,tanh,0.01,lbfgs,300,0.9398699885339017
1,5,tanh,0.1,adam,100,0.9355424703964913
1,5,tanh,0.1,adam,200,0.9100595697701093
1,5,tanh,0.1,adam,300,0.939403434105893
1,5,tanh,0.1,lbfgs,100,0.9014055505936407
1,5,tanh,0.1,lbfgs,200,0.9619365355493685
1,5,tanh,0.1,lbfgs,300,0.9414425824548082
1,5,relu,0.001,adam,100,0.6014276892768309
1,5,relu,0.001,adam,200,0.8676117080429193
1,5,relu,0.001,adam,300,0.7734161166903386
1,5,relu,0.001,lbfgs,100,0.8699135957295656
1,5,relu,0.001,lbfgs,200,0.8611075941677591
1,5,relu,0.001,lbfgs,300,0.9209096606195184
1,5,relu,0.01,adam,100,0.9180084476193318
1,5,relu,0.01,adam,200,0.9234036492690882
1,5,relu,0.01,adam,300,0.9155364482151631
1,5,relu,0.01,lbfgs,100,0.7610259164699924
1,5,relu,0.01,lbfgs,200,0.882937708581409
1,5,relu,0.01,lbfgs,300,0.9288841038393749
1,5,relu,0.1,adam,100,0.7895102935093256
1,5,relu,0.1,adam,200,0.9139065648692348
1,5,relu,0.1,adam,300,0.901050973430116
1,5,relu,0.1,lbfgs,100,0.7162398499083489
1,5,relu,0.1,lbfgs,200,0.8337468161475463
1,5,relu,0.1,lbfgs,300,0.8319099446776854
1,10,identity,0.001,adam,100,0.7310901548937654
1,10,identity,0.001,adam,200,0.6853015797164674
1,10,identity,0.001,adam,300,0.6750853644533028
1,10,identity,0.001,lbfgs,100,0.7162031137649693
1,10,identity,0.001,lbfgs,200,0.715302082586539
1,10,identity,0.001,lbfgs,300,0.7095607366645371
1,10,identity,0.01,adam,100,0.6980144774149342
1,10,identity,0.01,adam,200,0.6998782768425316
1,10,identity,0.01,adam,300,0.696303140209339
1,10,identity,0.01,lbfgs,100,0.6817269254263187
1,10,identity,0.01,lbfgs,200,0.699448497578903
1,10,identity,0.01,lbfgs,300,0.7120748478568318
1,10,identity,0.1,adam,100,0.6788364144778294
1,10,identity,0.1,adam,200,0.6874405126632741
1,10,identity,0.1,adam,300,0.6752655813182027
1,10,identity,0.1,lbfgs,100,0.6889597552056183
1,10,identity,0.1,lbfgs,200,0.7139345650604121
1,10,identity,0.1,lbfgs,300,0.7134318898378629
1,10,logistic,0.001,adam,100,0.8927413394586945
1,10,logistic,0.001,adam,200,0.9422856519935221
1,10,logistic,0.001,adam,300,0.9634622745812286
1,10,logistic,0.001,lbfgs,100,0.9328451766028919
1,10,logistic,0.001,lbfgs,200,0.9709030844582309
1,10,logistic,0.001,lbfgs,300,0.9576192892675731
