n_layers,n_neurons,transfer_func,learn_rate,algorithm,max_iter,test_accuracy
1,5,identity,0.001,adam,100,0.2153330993593815
1,5,identity,0.001,adam,200,0.4344509545742989
1,5,identity,0.001,adam,300,0.47375431301980886
1,5,identity,0.001,lbfgs,100,0.46037242035346904
1,5,identity,0.001,lbfgs,200,0.4367443535191354
1,5,identity,0.001,lbfgs,300,0.47962737658094856
1,5,identity,0.01,adam,100,0.4469879056523341
1,5,identity,0.01,adam,200,0.4493771107394514
1,5,identity,0.01,adam,300,0.4476985157905197
1,5,identity,0.01,lbfgs,100,0.4414770144741538
1,5,identity,0.01,lbfgs,200,0.4697683855260954
1,5,identity,0.01,lbfgs,300,0.43398433779516227
1,5,identity,0.1,adam,100,0.45097890537414864
1,5,identity,0.1,adam,200,0.40678063005474724
1,5,identity,0.1,adam,300,0.44845821961681803
1,5,identity,0.1,lbfgs,100,0.48606047085792636
1,5,identity,0.1,lbfgs,200,0.46467297138174934
1,5,identity,0.1,lbfgs,300,0.4830753468880543
1,5,logistic,0.001,adam,100,0.49776484827485906
1,5,logistic,0.001,adam,200,0.5231566167892217
1,5,logistic,0.001,adam,300,0.50935216209966
1,5,logistic,0.001,lbfgs,100,0.5350343885554631
1,5,logistic,0.001,lbfgs,200,0.5116107789528312
1,5,logistic,0.001,lbfgs,300,0.4928621344066135
1,5,logistic,0.01,adam,100,0.476933381165371
1,5,logistic,0.01,adam,200,0.5299441721991129
1,5,logistic,0.01,adam,300,0.5217261112069078
1,5,logistic,0.01,lbfgs,100,0.5861723770080869
1,5,logistic,0.01,lbfgs,200,0.5284154556533748
1,5,logistic,0.01,lbfgs,300,0.49488481166972004
1,5,logistic,0.1,adam,100,0.4906716345692322
1,5,logistic,0.1,adam,200,0.4485277241272263
1,5,logistic,0.1,adam,300,0.4672488189502736
1,5,logistic,0.1,lbfgs,100,0.5413675049369024
1,5,logistic,0.1,lbfgs,200,0.6015455189476315
1,5,logistic,0.1,lbfgs,300,0.5470373974501002
1,5,tanh,0.001,adam,100,0.5031176718684326
1,5,tanh,0.001,adam,200,0.4989324188193482
1,5,tanh,0.001,adam,300,0.516543644165937
1,5,tanh,0.001,lbfgs,100,0.48083411375854684
1,5,tanh,0.001,lbfgs,200,0.5193242134749454
1,5,tanh,0.001,lbfgs,300,0.5062646795885014
1,5,tanh,0.01,adam,100,0.5228859793426825
1,5,tanh,0.01,adam,200,0.5107064108184205
1,5,tanh,0.01,adam,300,0.553379223063551
1,5,tanh,0.01,lbfgs,100,0.4661171647571037
1,5,tanh,0.01,lbfgs,200,0.4974550739782175
1,5,tanh,0.01,lbfgs,300,0.4936230611913988
1,5,tanh,0.1,adam,100,0.4707307865348547
1,5,tanh,0.1,adam,200,0.4772977549409303
1,5,tanh,0.1,adam,300,0.4617556021138889
1,5,tanh,0.1,lbfgs,100,0.5427637002100336
1,5,tanh,0.1,lbfgs,200,0.5102754883024927
1,5,tanh,0.1,lbfgs,300,0.502523647094278
1,5,relu,0.001,adam,100,0.3888874805867245
1,5,relu,0.001,adam,200,0.4614406064042285
1,5,relu,0.001,adam,300,0.562667228289387
1,5,relu,0.001,lbfgs,100,0.49766058504456323
1,5,relu,0.001,lbfgs,200,0.5602208153368899
1,5,relu,0.001,lbfgs,300,0.5504173966058361
1,5,relu,0.01,adam,100,0.5155390769775523
1,5,relu,0.01,adam,200,0.4877315791605989
1,5,relu,0.01,adam,300,0.553808509587612
1,5,relu,0.01,lbfgs,100,0.5174471694367212
1,5,relu,0.01,lbfgs,200,0.5391633183686303
1,5,relu,0.01,lbfgs,300,0.5167488630891625
1,5,relu,0.1,adam,100,0.5473331373015247
1,5,relu,0.1,adam,200,0.44242236324940615
1,5,relu,0.1,adam,300,0.5373899450769707
1,5,relu,0.1,lbfgs,100,0.5637925568693802
1,5,relu,0.1,lbfgs,200,0.5615012565124449
1,5,relu,0.1,lbfgs,300,0.546343767409043
1,10,identity,0.001,adam,100,0.433281952073184
1,10,identity,0.001,adam,200,0.4397559453364477
1,10,identity,0.001,adam,300,0.45802688365406086
1,10,identity,0.001,lbfgs,100,0.4522513440631959
1,10,identity,0.001,lbfgs,200,0.43215214721996426
1,10,identity,0.001,lbfgs,300,0.45663482729682264
1,10,identity,0.01,adam,100,0.4351585964041308
1,10,identity,0.01,adam,200,0.44125686722858204
1,10,identity,0.01,adam,300,0.4421638487334684
1,10,identity,0.01,lbfgs,100,0.43425879070669315
1,10,identity,0.01,lbfgs,200,0.46102999143418055
1,10,identity,0.01,lbfgs,300,0.44427952689628475
1,10,identity,0.1,adam,100,0.4240703699017907
